NCR ID,Entity Name,Regional Compliance Enforcement Authority,BA,DP,GO Category 1,GO Category 2,GOP Category 1,GOP Category 2,PCPA,RC,RP,RSG,TO,TOP,TP,TSP,DPUF,FRSG,RRSG
NCR12378,"BPL Files Solar, LLC",Texas RE,,,GO-1,,,,,,,,,,,,,,
NCR12431,"BPL Sol Solar, LLC",Texas RE,,,GO-1,,,,,,,,,,,,,,
NCR12239,"Braes Bayou Generating, LLC",Texas RE,,,GO-1,,,,,,,,,,,,,,
NCR12269,"Brazoria County Solar Project, LLC",Texas RE,,,GO-1,,,,,,,,,,,,,,
NCR12242,"Brazoria West Solar Project, LLC",Texas RE,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR12513,Brazos Bend BESS LLC,Texas RE,,,GO-1,,,,,,,,,,,,,,
NCR04015,"Brazos Electric Power Co Op, Inc.",Texas RE,,DP,,,,,,,,,TO,TOP,TP,,,,
NCR10210,"Brazos Wind Ventures, LLC",Texas RE,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR12292,"Briar Creek Solar 1, LLC",Texas RE,,,GO-1,,,,,,,,,,,,,,
NCR11576,"Briscoe Wind Farm, LLC",Texas RE,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR12179,Broad Reach Power LLC,Texas RE,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR12337,"Brotman Generating, LLC",Texas RE,,,GO-1,,,,,,,,,,,,,,
NCR04018,Brownsville Public Utilities Board,Texas RE,,DP,,,,,,,,,TO,TOP,TP,,,,
NCR04021,Brownsville Public Utilities Board Silas Ray,Texas RE,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR13123,BRP Antlia BESS LLC,Texas RE,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR13224,BRP Avila BESS LLC,Texas RE,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR13225,BRP Cachi BESS LLC,Texas RE,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR13226,BRP Carina BESS LLC,Texas RE,,,GO-1,,GOP-1,,,,,,,,,,,,
